EmpID,ProjectID,DateFrom,DateTo
143,12,2014-01-01,2014-01-10
218,12,01/03/2014,10/01/2014
143,10,2009-01-01,NULL
218,10,01/01/2010,10/01/2011
143,15,"June 1, 2015","June 15, 2015"
218,15,2015/06/05,"June 20, 2015"
143,18,03/01/2016,"March 15, 2016"
218,18,"March 5, 2016","March 20, 2016"
143,20,2017-08-01,10.Aug.2017
218,20,03.Aug.2017,12-Aug-2017
143,25,2018/09/01,2018/09/10
218,25,01-09-2018,10/09/2018
143,30,"October 1, 2019","October 15, 2019"
218,30,2019.10.05,"October 20, 2019"
143,35,2020-12-01,2020-12-15
218,35,01/12/2020,15-Dec-2020
